ZTF19abzvvkb 0.094000 Ia-91T
58791.1064352 2 19.6814 0.155051
58788.2280556 2 19.4796 0.184615
58785.2440046 2 19.5736 0.159697
58781.2423032 2 19.4405 0.211906
58778.3182407 2 19.1403 0.133914
58775.1909606 2 19.302 0.0942009
58769.1852894 2 18.8043 0.112512
58763.251875 2 18.6566 0.0905956
58760.2737731 2 18.6256 0.0817018
58757.2741435 2 18.6401 0.0565477
58750.2756713 2 19.1591 0.096937
58747.2697801 2 19.9166 0.16347
