ZTF20aamdqiz 0.086000 Ia
58912.2710648 1 20.3852 0.341169
58911.4007755 1 20.216 0.234497
58909.256412 1 19.931 0.291244
58906.3139468 1 19.5558 0.131566
58905.3101273 1 19.529 0.166716
58904.2962153 1 19.4842 0.116284
58903.3348727 1 19.3373 0.097707
58900.3300463 1 19.1622 0.10352
58899.3790162 1 18.9886 0.089596
58898.3809838 1 19.0015 0.085274
58894.3537037 1 18.8002 0.0984765
58891.4208796 1 18.778 0.158747
58886.439456 1 19.3106 0.183185
58883.461169 1 20.2629 0.307481
