ZTF19aanhhal 0.025970 II
58682.2437847 2 19.6507 0.16176
58676.2048032 2 19.3445 0.168149
58667.2193403 2 18.9097 0.0930132
58663.2008565 2 18.7787 0.0857162
58660.2379977 2 18.6759 0.0804337
58657.2666088 2 18.6624 0.077526
58650.2459722 2 18.6042 0.0913539
58647.2415856 2 18.5909 0.0841621
58644.2616782 2 18.5228 0.079861
58641.2871412 2 18.5047 0.0769903
58638.2180093 2 18.5083 0.0693969
58635.2593866 2 18.4881 0.0702009
58632.267662 2 18.4672 0.0807092
58616.1744676 2 18.4235 0.0983878
58612.2362037 2 18.383 0.0603533
58606.2270486 2 18.3448 0.0661136
58601.2798495 2 18.3148 0.0650715
58596.2642245 2 18.2726 0.0845743
58592.2768403 2 18.2456 0.0799154
58589.2804514 2 18.1156 0.140528
58586.327581 2 18.2306 0.0674855
58583.3113657 2 18.1326 0.0621648
58580.3363889 2 18.1805 0.0787952
58575.3849769 2 18.2757 0.066298
58572.3734491 2 18.1445 0.0767767
58567.3242824 2 18.2581 0.0693087
