ZTF19abztknu 0.053500 Ib
58864.1380093 1 21.0062 0.268046
58862.1459838 1 21.0362 0.28488
58849.1300347 1 20.9627 0.332184
58819.226956 1 20.5001 0.192956
58812.3297222 1 20.5176 0.216336
58812.3212616 1 20.375 0.221077
58811.2317593 1 20.5186 0.285977
58811.2160185 1 20.4439 0.267686
58811.2150926 1 20.2904 0.214395
58806.3436343 1 20.3261 0.258441
58806.3427199 1 20.3021 0.233794
58805.1926389 1 20.2992 0.192963
58805.1917361 1 20.3805 0.173687
58804.2065394 1 20.1649 0.337974
58804.205625 1 20.2671 0.291431
58797.2317245 1 19.736 0.209971
58795.2736574 1 19.9359 0.208833
58795.2727431 1 19.7779 0.175899
58794.2709028 1 19.88 0.175792
58794.270463 1 19.8308 0.171972
58794.2581481 1 20.0616 0.252532
58792.3505556 1 19.8725 0.139046
58792.3496296 1 19.8489 0.145986
58791.2981597 1 19.8772 0.18829
58791.2972454 1 19.858 0.168839
58790.3038773 1 19.7413 0.117063
58790.3034375 1 19.8619 0.127628
58790.3025347 1 19.7431 0.133039
58789.3447454 1 19.7711 0.190084
58784.4112037 1 19.5291 0.24197
58781.4022569 1 19.5301 0.257527
58777.4839352 1 19.056 0.0972736
58769.5071875 1 18.9028 0.164918
58766.4582986 1 18.7343 0.0781858
58759.4209722 1 18.6772 0.0649954
58756.4207639 1 18.8496 0.0700123
58747.4875231 1 19.8514 0.163578
