ZTF19aapbgty 0.075000 Ia
58642.2866551 2 20.6599 0.198007
58633.3448611 2 20.4656 0.182922
58627.3885648 2 20.1186 0.172356
58616.3737847 2 19.5917 0.116679
58612.4669907 2 19.3587 0.107363
58608.3452662 2 19.209 0.13123
58605.4360185 2 19.173 0.0828953
58596.4048843 2 18.6513 0.0722486
58592.3705324 2 18.6366 0.149809
58586.390463 2 18.8405 0.101261
58583.3448611 2 19.1892 0.126847
58580.5053819 2 19.7566 0.180722
