ZTF18abtqevs 0.044000 Ia
58384.2795718 1 19.6887 0.199518
58382.4032986 1 20.0531 0.198625
58379.346794 1 19.7441 0.125288
58377.3703704 1 19.6253 0.112955
58376.3175926 1 19.5795 0.102935
58373.3850463 1 19.4341 0.107444
58371.3740741 1 19.4713 0.109383
58370.3625231 1 19.4589 0.0892317
58367.4160532 1 19.5993 0.117773
