ZTF20aaezizk 0.094000 Ia
58898.2028009 1 20.5544 0.230379
58898.1886227 1 20.507 0.238682
58895.159919 1 20.3135 0.228097
58881.1637616 1 19.2836 0.158429
58879.1395718 1 19.0234 0.163293
58878.2235301 1 19.0234 0.17481
58876.1814583 1 19.0588 0.0928013
58876.1814583 1 19.0594 0.091768
58867.2194329 1 18.8805 0.082536
58864.1943981 1 19.1913 0.130108
58864.1555903 1 19.0856 0.100462
58861.1181597 1 19.5224 0.196622
