ZTF19aatvljp 0.052000 Ia
58658.3992245 2 19.6081 0.167507
58658.3982986 2 19.6649 0.166522
58652.4214468 2 19.4466 0.251413
58650.4221991 2 19.5086 0.282596
58646.4626157 2 19.0524 0.10864
58644.4614352 2 19.0344 0.0755263
58643.4780787 2 18.8299 0.085694
58640.4637153 2 18.6613 0.0977258
58640.4632639 2 18.7277 0.0808623
58637.4227199 2 18.3694 0.0572193
58634.4376505 2 18.1651 0.0635809
58634.4227894 2 18.2207 0.052434
58628.4032292 2 17.9071 0.0634677
58607.4853472 2 17.9457 0.0473228
58601.4902315 2 19.6608 0.226075
