ZTF19aanmeyw 0.060000 Ia
58608.3161111 1 20.4809 0.283976
58587.3584722 1 18.9017 0.166148
58587.3575579 1 18.975 0.181824
58584.447581 1 18.8323 0.0922681
58584.4471181 1 18.7671 0.100563
58581.4626968 1 18.7285 0.0680791
58581.4612153 1 18.6737 0.0964425
58577.4621875 1 18.6814 0.235086
58577.4603819 1 18.6384 0.100735
58573.4612731 1 18.5663 0.0708041
58573.4608333 1 18.545 0.0827754
58568.4172801 1 18.8623 0.117728
58568.4153472 1 18.9762 0.125255
