ZTF20aasfhia 0.050000 II
58986.2570023 2 19.6409 0.100812
58980.2555208 2 19.5078 0.112145
58968.3689005 2 19.3313 0.110017
58965.2825116 2 19.2928 0.111711
58962.2808449 2 19.1879 0.128866
58954.2656366 2 19.0797 0.082468
58939.3891667 2 18.9487 0.27384
58936.4029398 2 18.947 0.0969073
58913.4741435 2 19.2464 0.123319
