ZTF18adcdcrd 0.049870 Ia
58915.1480903 2 18.8695 0.129295
58909.1488426 2 18.4425 0.150864
58909.1238079 2 19.1269 0.176495
58906.2082523 2 18.8158 0.120947
58905.1853009 2 18.5326 0.127226
58903.1707292 2 18.5525 0.0972672
58900.182419 2 18.3889 0.121155
58899.2334606 2 18.3194 0.089347
58896.2689815 2 18.2753 0.10833
58894.2436343 2 18.231 0.0905012
58893.2531713 2 18.2433 0.103452
58890.1716319 2 18.4173 0.132499
58887.1640741 2 18.4753 0.15734
58882.1616088 2 19.0182 0.174711
58881.2753241 2 19.1523 0.195085
