ZTF19abxiqve 0.050000 Ia
58763.3435417 2 19.8034 0.173567
58763.3421528 2 19.8552 0.142176
58760.3033681 2 19.6753 0.183853
58757.3082523 2 19.67 0.137523
58750.3217245 2 19.5313 0.144509
58750.3198495 2 19.4865 0.149513
58747.4062153 2 19.3011 0.143777
58744.3874884 2 19.1466 0.127681
58741.3988194 2 18.9363 0.127101
58741.3549653 2 18.8259 0.12256
58738.3852431 2 18.981 0.129599
58735.3830671 2 19.0202 0.0955766
58735.3816782 2 18.9723 0.0816833
58732.4903241 2 19.2678 0.128292
58732.4707407 2 19.21 0.113283
