ZTF19aaqdkrm 0.034000 II
58667.1950694 1 20.4447 0.209757
58657.1954861 1 19.7309 0.173681
58654.2584375 1 19.6768 0.218812
58651.1715162 1 19.5815 0.252413
58648.1833218 1 19.6233 0.219362
58645.2356481 1 19.3896 0.155466
58642.2006829 1 19.3249 0.1203
58639.2382407 1 19.3145 0.0920125
58636.2568981 1 19.3339 0.103628
58633.2448264 1 19.112 0.107183
58619.253669 1 19.0903 0.206874
58616.234375 1 18.781 0.0962548
58612.2920023 1 18.6779 0.0852129
58606.3825926 1 18.4539 0.0638385
58600.2168056 1 18.2278 0.0858718
58596.2139468 1 18.078 0.0689501
58592.423669 1 17.9757 0.0812473
58588.2150116 1 18.2881 0.296885
