ZTF18aaxrvzj 0.110000 Ia
58308.2459144 2 19.9076 0.138325
58296.2858449 2 19.4027 0.162957
58293.2493403 2 19.2447 0.0965114
58290.3301505 2 19.1494 0.090945
58287.263588 2 19.0349 0.0532561
58284.3031713 2 19.1509 0.0711058
58281.3290394 2 19.1673 0.0635628
58278.3090972 2 19.1953 0.0642795
58275.387037 2 19.5838 0.105623
