ZTF18abrzeym 0.056000 Ia
58389.1299421 1 19.4994 0.130238
58386.1124884 1 19.1506 0.169259
58383.1852431 1 19.0721 0.117297
58379.1641782 1 18.7345 0.0887421
58376.2291435 1 18.637 0.0844524
58373.2076736 1 18.6174 0.0849732
58367.2480903 1 18.9267 0.11112
58364.2062037 1 19.2044 0.102068
58361.1502546 1 20.0695 0.185947
