ZTF18aarlukc 0.062600 Ia
58676.2029167 2 19.2592 0.133717
58676.201956 2 19.4842 0.161901
58673.2003356 2 19.2314 0.11609
58673.1994097 2 19.2498 0.180462
58670.1833333 2 18.8682 0.145774
58670.180544 2 18.9154 0.162691
58667.2208681 2 18.8609 0.116417
58661.2044329 2 18.629 0.0829812
58661.2030324 2 18.6231 0.0856798
58658.1868519 2 18.6397 0.0757063
58655.1783681 2 18.3449 0.0943375
58655.1778704 2 18.4548 0.108918
58652.2781019 2 18.2353 0.101268
58652.2767014 2 18.3787 0.08451
58649.2382986 2 18.0264 0.060279
58649.2378125 2 18.035 0.096179
58646.2227431 2 18.0449 0.0566442
58646.221794 2 18.1292 0.0890543
58643.2475579 2 18.0882 0.071559
58643.2415625 2 18.0137 0.0840364
58640.2275231 2 18.2219 0.065256
58640.227037 2 18.1923 0.0544197
58637.2006481 2 18.3337 0.0713702
58637.199213 2 18.3047 0.063082
58634.2803125 2 18.8533 0.103252
58634.2638657 2 18.8001 0.122011
