ZTF19abyjjxp 0.040000 Ia
58796.5454167 1 20.1779 0.259031
58790.5277083 1 20.0636 0.208077
58785.4780556 1 19.9839 0.27579
58784.4820486 1 19.8305 0.304909
58781.4792245 1 19.9535 0.226225
58778.5289468 1 19.5597 0.219304
58768.4634838 1 19.1433 0.162843
58767.4554745 1 18.8568 0.130122
58766.4626736 1 18.6725 0.107598
58763.4777894 1 18.3898 0.0815978
58758.5147338 1 17.8112 0.0521798
58756.4787153 1 17.5938 0.0479747
58750.4547106 1 17.1457 0.0467172
58747.5041667 1 16.9585 0.043763
58744.5009491 1 17.0033 0.049719
58736.4934954 1 18.2361 0.0773683
