ZTF19abxfhrq 0.047429 Ia
58764.2482755 1 19.7541 0.298791
58754.2666435 1 18.5064 0.0971841
58754.2602431 1 18.4894 0.11453
58745.142581 1 17.8972 0.0629626
58741.1408218 1 18.0077 0.0826081
58738.1433912 1 18.361 0.107076
58737.3055903 1 18.4431 0.137829
58736.2926852 1 18.6454 0.132986
58735.2831019 1 18.892 0.149948
58734.2845139 1 19.3514 0.176934
58733.3073495 1 19.8542 0.225789
