ZTF19acchtyp 0.060000 Ia
58814.193912 2 19.354 0.143312
58812.2948958 2 19.3996 0.11413
58812.2349421 2 19.3701 0.101574
58805.3509722 2 18.9735 0.133233
58805.2327315 2 18.9896 0.0778261
58804.3442593 2 19.0607 0.132406
58804.3429051 2 18.9268 0.123905
58803.2978819 2 18.893 0.116235
58798.3248032 2 18.701 0.113181
58798.2887731 2 18.7196 0.150339
58796.3219213 2 18.7541 0.115937
58795.4310301 2 18.7224 0.0739481
58793.4955208 2 18.6991 0.090487
58792.3566551 2 18.5131 0.107366
58790.3649074 2 18.5297 0.0782617
58788.3412847 2 18.3951 0.0615016
58785.4882755 2 18.2798 0.0782739
58775.3708449 2 18.1846 0.0704843
58769.4284259 2 18.3719 0.0886517
58766.4921296 2 18.8043 0.0635254
58763.4847917 2 19.2634 0.143784
58759.384213 2 20.0725 0.171913
