ZTF19accmboe 0.046000 Ia
58811.1217824 2 18.7302 0.116582
58797.0743519 2 18.0261 0.06939
58796.0968981 2 18.0174 0.0852034
58795.082419 2 18.0033 0.0689029
58794.1006829 2 17.9906 0.0569983
58793.1021991 2 17.9471 0.0721539
58792.1202431 2 17.9589 0.0681916
58791.0980093 2 17.9397 0.0651592
58790.1202199 2 17.9765 0.0712366
58785.1011111 2 17.6403 0.0537622
58782.1128009 2 17.4689 0.0483546
58779.0908218 2 17.3599 0.0511542
58773.1012037 2 17.0046 0.244667
58770.201713 2 17.4558 0.048573
58767.1203356 2 17.755 0.0835327
58764.1202431 2 18.1225 0.0695999
