ZTF20aafcnem 0.040000 Ia
58900.5367477 1 19.1538 0.137308
58895.5291551 1 18.934 0.0932767
58894.5509838 1 18.7649 0.0746694
58893.4872106 1 18.6561 0.0806337
58892.5558333 1 18.5141 0.0772458
58891.431794 1 18.5067 0.109058
58890.523044 1 18.348 0.15414
58887.4367014 1 18.0151 0.0907093
58886.45125 1 17.8922 0.0671988
58881.4695255 1 17.6179 0.0543173
58880.4568056 1 17.5789 0.0470393
58879.4895139 1 17.5911 0.0690267
58877.5416667 1 17.6401 0.056763
58875.4706713 1 17.6537 0.060572
58866.5753125 1 18.4733 0.0701997
58861.5132986 1 19.4864 0.23168
