ZTF20aabqiiy 0.080000 Ia
58893.5271065 2 20.1766 0.280365
58887.532419 2 19.7178 0.185298
58884.5427778 2 19.7543 0.216445
58881.5466204 2 19.6368 0.147801
58878.5564352 2 19.5691 0.158271
58875.5433912 2 19.3396 0.108682
58872.5567477 2 19.188 0.126242
58864.5184838 2 18.8574 0.0949916
58861.5454051 2 18.8201 0.139335
58856.5675694 2 18.9602 0.0862879
58850.5095255 2 19.4518 0.210376
