ZTF18acfwmqj 0.053000 Ia
58490.1551736 2 19.9883 0.196758
58486.1171759 2 19.907 0.136764
58464.2804398 2 18.9752 0.0934856
58464.2578009 2 19.0539 0.0978252
58461.2667593 2 18.8641 0.0822897
58461.2653819 2 18.8004 0.0774723
58455.3018981 2 18.6758 0.104731
58455.3014352 2 18.6565 0.0884654
58447.3496065 2 18.1453 0.077662
58447.3491435 2 18.2384 0.0902901
58441.2939815 2 18.2388 0.103916
58441.2935185 2 18.2811 0.10322
58437.3014236 2 18.4286 0.0646617
58437.3009606 2 18.3773 0.079249
58434.295 2 18.7307 0.138541
58434.199537 2 18.8308 0.0878563
