ZTF18aaxokeg 0.033600 II
58661.1966319 2 19.7332 0.180734
58658.1799653 2 19.631 0.12918
58654.1939005 2 19.5057 0.12754
58651.2333449 2 19.2278 0.149909
58648.1919676 2 19.3102 0.205292
58642.2356134 2 18.7887 0.0859852
58639.1734722 2 18.5288 0.0684041
58636.2060069 2 18.5408 0.0939686
58633.2034954 2 18.3784 0.0710811
58628.2882755 2 18.3319 0.0716998
58618.2664931 2 17.8135 0.0738041
58616.169375 2 17.7061 0.0582845
58606.2117361 2 18.3215 0.0676338
58606.2079861 2 18.3223 0.0686627
