ZTF18achxcsh 0.070000 Ia
58732.4474769 1 19.2732 0.121593
58581.2025579 1 19.5265 0.144759
58575.1969097 1 18.9393 0.145879
58572.1864815 1 18.7081 0.119498
58567.198287 1 18.6467 0.0901192
58567.1807292 1 18.7221 0.0982675
58562.2370139 1 18.59 0.170317
58562.1958796 1 18.5074 0.125096
58559.2997801 1 18.9263 0.139368
58559.1561111 1 19.1956 0.138789
