ZTF19acgdfjt 0.035000 Ia
58804.5322106 2 18.4034 0.0898295
58801.4275231 2 18.2861 0.133276
58799.3708449 2 18.299 0.0970682
58794.5395486 2 18.1332 0.0588877
58791.5076968 2 17.9479 0.0757176
58791.4940741 2 17.9979 0.0816801
58788.5417361 2 17.6604 0.0573133
58784.5137269 2 17.4927 0.0894374
58781.4901505 2 17.5656 0.0531883
58778.4934722 2 17.6719 0.0612886
