ZTF18abdiwpt 0.073000 Ia
58344.1659491 1 19.7907 0.185088
58337.1767361 1 19.3478 0.110336
58336.2382176 1 19.3461 0.131125
58334.1821065 1 19.2155 0.158893
58333.1775579 1 19.079 0.113438
58331.2534606 1 18.8856 0.0985614
58324.2803009 1 18.2588 0.122736
58324.2798032 1 18.1943 0.0956988
58321.1807176 1 17.982 0.107547
58320.1745255 1 17.9627 0.0691264
58300.2237384 1 19.3315 0.138379
