ZTF18abceakp 0.030000 II
58316.1747454 1 19.2947 0.135545
58300.3085532 1 18.0913 0.0716908
58300.2237384 1 18.1435 0.0680746
58300.2214005 1 18.1897 0.0782725
58297.2023727 1 18.4998 0.0884895
58294.2256829 1 18.7195 0.0911873
58294.2252315 1 18.715 0.0992065
58294.2035764 1 18.6354 0.0822611
58288.2241898 1 20.232 0.200186
