ZTF19abcejoa 0.090000 Ia
58726.3775579 2 20.2483 0.215605
58716.4388194 2 20.005 0.230503
58710.4181019 2 19.5014 0.256699
58704.4613657 2 19.5984 0.132371
58699.481088 2 19.4877 0.155093
58693.4796875 2 19.2789 0.100041
58684.4597454 2 18.7786 0.118717
58667.4835995 2 19.1822 0.221957
58662.4650579 2 19.961 0.213841
