ZTF18abesqnb 0.559800 II
58337.1781597 1 19.7877 0.169272
58337.1772106 1 20.2044 0.201818
58334.1849653 1 19.6487 0.175856
58334.184456 1 19.6122 0.144447
58331.3037269 1 19.3217 0.184136
58331.2762153 1 19.2093 0.20242
58324.3044329 1 18.8916 0.134675
58320.1968866 1 18.5821 0.0781075
58316.1747454 1 18.6178 0.091054
