ZTF19aanmdsr 0.125000 Ia
58612.3924884 1 21.1103 0.347089
58608.4147569 1 20.5019 0.289452
58596.4745255 1 19.5931 0.187694
58591.4907407 1 19.1842 0.190992
58587.4483565 1 18.9663 0.108121
58584.4584375 1 18.849 0.0896595
58580.4496181 1 18.7889 0.143831
58572.5070718 1 19.1394 0.107096
58567.5152431 1 20.0068 0.321581
