ZTF19aaileug 0.062700 Ia
58580.2498843 1 20.4416 0.27896
58580.1979398 1 20.6034 0.226257
58572.204456 1 20.0957 0.268623
58560.2205903 1 19.4034 0.200431
58560.2003588 1 19.08 0.161552
58557.1741204 1 19.2381 0.280513
58541.2590162 1 17.9903 0.116956
58540.3944676 1 17.8169 0.0657204
58539.2447801 1 17.7972 0.0751038
58538.2824306 1 17.7605 0.126335
58534.3057986 1 17.6435 0.0863437
58534.2769213 1 17.6524 0.140484
58526.4254745 1 18.2292 0.107601
58522.4192824 1 19.2215 0.136506
