ZTF19abfhszx 0.060000 Ia
58718.3239468 2 18.8646 0.11776
58706.3905556 2 18.7175 0.14563
58701.3781134 2 18.4636 0.0779124
58698.3980787 2 18.2219 0.079098
58695.3363773 2 18.0006 0.056392
58692.354375 2 17.9177 0.0958113
58684.4392477 2 17.9602 0.0845718
58676.4812153 2 18.9409 0.0905371
58673.442963 2 20.1859 0.189021
