ZTF18acrdmmw 0.050000 Ia
58540.2536921 2 20.3023 0.186889
58526.4921296 2 19.8951 0.294174
58514.4232755 2 19.5685 0.245211
58505.5281134 2 19.0291 0.156706
58502.52875 2 18.9957 0.12619
58494.450787 2 18.6815 0.0618972
58491.5311921 2 18.4844 0.068849
58486.4854167 2 18.4486 0.0557421
58474.4783333 2 18.0166 0.0716926
58471.5399306 2 17.8173 0.0469613
58464.5495949 2 17.5074 0.0453834
58461.536412 2 17.4935 0.0417064
58447.4835764 2 19.4229 0.149987
