ZTF19abqqmui 0.050000 Ia
58777.1922917 2 19.7169 0.185237
58774.1924537 2 19.6978 0.190866
58771.2545718 2 19.5697 0.221982
58760.2746991 2 19.0847 0.100847
58757.2755556 2 18.836 0.0988344
58750.2571412 2 18.6985 0.0829839
58747.2547454 2 18.7071 0.069347
58744.3591204 2 18.6764 0.0936526
58730.3843403 2 17.9475 0.0583014
58722.3145833 2 18.2055 0.0572369
58718.3739005 2 18.6195 0.0814539
58715.3661921 2 19.398 0.110631
