ZTF19aclofmz 0.031000 Ia
58837.1446065 1 20.353 0.179732
58820.1614005 1 19.5891 0.211989
58819.2171644 1 19.5183 0.113741
58813.1920833 1 18.5957 0.129009
58812.1498148 1 18.6517 0.0844983
58811.2221528 1 18.4292 0.066277
58806.2005787 1 17.8946 0.0526445
58805.2051042 1 17.8119 0.0598912
58802.2048032 1 17.6944 0.0466825
58801.2204745 1 17.7196 0.057933
58798.1821412 1 17.7614 0.0495777
58797.2707523 1 17.8802 0.0687606
58797.2254051 1 17.8331 0.0690734
58795.2585069 1 18.0246 0.0811661
58795.1989583 1 18.0563 0.053834
58794.2671644 1 18.1659 0.0697324
58791.2847685 1 18.8333 0.0883714
58791.2665509 1 18.872 0.0982424
58790.2786227 1 19.0929 0.110532
58789.3590509 1 19.454 0.136314
58788.3624769 1 19.7594 0.170818
