ZTF18aczeesl 0.018000 Ia
58616.3084259 2 20.7627 0.291525
58612.3477894 2 20.8289 0.252461
58608.3517014 2 20.702 0.293675
58586.34125 2 19.9856 0.194902
58583.3378472 2 19.7961 0.172167
58580.3830324 2 19.9377 0.155165
58575.403588 2 19.738 0.137156
58572.4246644 2 19.5298 0.112658
58567.3859606 2 19.5177 0.136594
58560.3883333 2 19.242 0.108909
58556.4270949 2 19.1172 0.133138
58547.4931134 2 18.8213 0.0824057
58541.4911227 2 18.5769 0.062139
58538.4870255 2 18.5493 0.148512
58526.5129051 2 18.0351 0.0736702
58511.5538889 2 17.2815 0.0511062
58508.4924769 2 17.2343 0.0399344
58487.5561921 2 16.4744 0.0333715
58480.5505787 2 16.4189 0.0289574
58475.4977083 2 16.6927 0.0336388
