ZTF18acdwazf 0.033320 Ia
58546.2884028 1 20.191 0.207626
58526.4591088 1 20.002 0.259722
58522.4836111 1 19.9422 0.191032
58511.4466667 1 19.792 0.187352
58494.5092593 1 19.4332 0.100575
58491.4839236 1 19.4282 0.174747
58486.5372106 1 19.4144 0.148734
58480.4958565 1 19.2273 0.143886
58464.5065509 1 18.5901 0.0844474
58461.4884028 1 18.3635 0.0970948
58450.5155324 1 17.3134 0.0499292
58440.4851389 1 16.5983 0.0313288
58430.5293519 1 16.4988 0.0324951
58427.5370833 1 16.7246 0.0315408
