ZTF19abqlrtb 0.057000 Ia
58766.4829745 2 19.8321 0.16495
58763.4811458 2 19.5841 0.124542
58756.4812963 2 19.1497 0.0996662
58750.4631481 2 18.9173 0.098486
58747.4603125 2 18.8927 0.12619
58744.4594444 2 18.8528 0.135011
58735.5022569 2 18.5557 0.0680008
58732.5012847 2 18.4007 0.0647285
58725.4971412 2 18.1296 0.0561517
58717.4813194 2 18.3679 0.0678274
58714.4560301 2 18.7346 0.105425
58711.4437153 2 19.527 0.245409
