ZTF18abfgygp 0.070000 Ia
58373.158044 2 20.2246 0.202963
58369.1523958 2 20.0882 0.169082
58367.181956 2 19.9313 0.167048
58364.1792245 2 19.9728 0.158419
58363.2240972 2 19.9937 0.159149
58361.2422454 2 19.7977 0.14337
58360.2293634 2 19.7503 0.202652
58358.1983796 2 19.6283 0.138208
58357.2756366 2 19.4575 0.159146
58355.2655556 2 19.5486 0.141767
58354.2351157 2 19.3135 0.12638
58352.2175926 2 19.3118 0.119764
58351.1938542 2 19.2031 0.109385
58345.3287963 2 19.0492 0.119817
58343.3297917 2 19.0243 0.106218
58342.3322917 2 18.9687 0.115829
58338.1970949 2 18.852 0.100373
58338.1961806 2 18.9402 0.0718918
58332.3087037 2 18.5944 0.0859597
58329.3088079 2 18.408 0.0756266
58326.3203588 2 18.2311 0.0919313
58326.2852894 2 18.2147 0.0635711
58323.2600231 2 18.1757 0.0799107
58317.4254861 2 18.4195 0.0937246
58314.1960648 2 18.6117 0.0862542
58311.3904745 2 19.0015 0.0947039
