ZTF20aauvmix 0.100000 Ia
58985.275706 2 19.587 0.13222
58981.2531944 2 19.58 0.102833
58980.267581 2 19.4021 0.103182
58979.3004514 2 19.2608 0.140803
58976.3321875 2 19.2981 0.230128
58975.3841319 2 19.1776 0.143526
58974.3193634 2 19.081 0.118496
58974.2778588 2 19.0387 0.137827
58973.3304051 2 19.1565 0.119052
58972.4053704 2 18.9804 0.094001
58971.3822685 2 19.0003 0.0902832
58970.3989236 2 18.9331 0.0796131
58968.3820023 2 18.9792 0.0877773
58967.3514815 2 18.9659 0.0920572
58966.3500926 2 19.0062 0.22712
58965.3483102 2 18.9522 0.0748587
58964.4077315 2 19.021 0.0695676
58962.3172685 2 18.983 0.0928091
58961.4087037 2 18.9927 0.106143
58956.3337037 2 19.366 0.0826762
58955.4233796 2 19.5533 0.148277
58954.462662 2 19.6689 0.177223
