ZTF19aavaikm 0.060000 Ia
58665.4204745 2 19.3968 0.121673
58662.3224537 2 19.2988 0.114423
58661.3361574 2 19.1576 0.104524
58660.4620486 2 19.2184 0.133243
58653.4388426 2 18.5791 0.104023
58650.3534722 2 18.751 0.164642
58647.3146644 2 18.7723 0.093814
58644.4609838 2 18.7095 0.086079
58640.4614583 2 18.5735 0.0917616
58637.4218171 2 18.2534 0.0730755
58634.421875 2 18.082 0.0558719
