ZTF19acsvqrx 0.085000 Ia
58846.255787 2 20.0818 0.166944
58837.2378009 2 19.6926 0.161898
58833.2650579 2 19.5257 0.152217
58833.2403356 2 19.4786 0.161735
58830.2727083 2 19.4658 0.137207
58811.3137037 2 18.8991 0.112328
58806.3164236 2 19.1633 0.0970051
58805.3551505 2 19.3824 0.170257
58803.3136458 2 19.6246 0.191669
