ZTF19abaosan 0.047000 Ia
58718.1555093 1 20.1616 0.287037
58715.1532639 1 20.3418 0.246302
58714.1549421 1 20.1839 0.244666
58705.2491782 1 19.2726 0.235393
58692.2136458 1 18.6059 0.0998604
58692.1907639 1 18.6323 0.111901
58686.1910301 1 18.1116 0.0839261
58686.1899884 1 18.0675 0.0797421
58683.1913657 1 17.7916 0.0539429
58683.190463 1 17.777 0.0565188
58680.1901389 1 17.6276 0.089261
58680.168588 1 17.6468 0.0927979
58677.3242245 1 17.4533 0.0724576
58674.2049421 1 17.3867 0.0534831
58674.2040394 1 17.3873 0.0515789
58668.2085764 1 17.5066 0.0556675
58665.1910764 1 17.8315 0.0717212
58665.1901736 1 17.8139 0.0426457
58661.2122917 1 18.6918 0.09488
58661.2118403 1 18.6954 0.088885
58658.211331 1 20.5793 0.293021
