ZTF19abtcapa 0.070000 Ia
58852.1026968 1 19.566 0.187927
58849.126794 1 19.5675 0.134515
58849.1019792 1 19.5924 0.168557
58846.2173032 1 19.3348 0.120095
58836.1309722 1 18.5057 0.0971642
58833.1764236 1 18.3889 0.0782779
58831.2078935 1 18.2662 0.0808726
58831.1446644 1 18.3339 0.103446
58830.2043171 1 18.2689 0.0841592
58830.1277546 1 18.3149 0.0831448
58828.1086111 1 18.2971 0.141469
58820.1646875 1 18.9085 0.24408
58819.210787 1 18.9451 0.092528
