ZTF19aanbfaw 0.060000 Ia
58617.2366435 2 19.5293 0.181881
58609.1571181 2 19.2964 0.114511
58606.1743634 2 19.1244 0.0963832
58599.1454282 2 18.8164 0.0785866
58598.1541782 2 18.9071 0.0915274
58591.1425 2 18.608 0.0819744
58589.2283449 2 18.7286 0.147699
58582.1940394 2 18.271 0.0685558
58581.1647454 2 18.2835 0.0880906
58575.1625579 2 18.0008 0.123071
58572.2167014 2 18.0832 0.0661498
58567.2154977 2 18.2692 0.063217
