ZTF20aagfjlj 0.045600 Ia
58901.3722222 2 19.0327 0.127383
58898.3161806 2 18.8429 0.114364
58894.2718519 2 18.3501 0.0780129
58891.3156597 2 18.393 0.0898629
58884.2309144 2 18.1133 0.10078
58879.3606481 2 17.7487 0.101917
58876.2946875 2 17.6028 0.0636635
58873.3310532 2 17.6247 0.0468511
58864.3352315 2 18.5428 0.0747715
