ZTF19aaeopqn 0.039000 Ia
58543.3599306 2 20.3747 0.195659
58540.3052199 2 20.1838 0.201078
58526.5207523 2 18.9479 0.0996473
58522.5320718 2 18.8357 0.0833019
58522.5311111 2 18.745 0.0683795
58514.4337269 2 18.5425 0.175791
58511.5351389 2 18.6334 0.12234
58511.5289468 2 18.7871 0.114149
58508.4948495 2 19.1696 0.159593
58508.4934722 2 19.1768 0.162039
