ZTF19abqmpsr 0.033000 Ia
58791.296794 1 20.6605 0.22472
58790.2828009 1 20.8193 0.295414
58789.3438426 1 20.4811 0.227797
58763.4108449 1 20.0374 0.18481
58759.4205324 1 19.8753 0.121686
58756.4129282 1 19.8728 0.187198
58750.3770255 1 19.2865 0.130226
58747.4870718 1 18.9645 0.101634
58735.4413194 1 17.8167 0.0520683
58732.4213426 1 17.5706 0.0623588
58726.4627778 1 17.3649 0.0441331
58725.4636111 1 17.376 0.0380054
58725.4373727 1 17.3556 0.0444761
58723.4754977 1 17.3971 0.0465756
58722.4410995 1 17.4477 0.0490764
58719.4974074 1 17.7159 0.063967
58712.4832986 1 19.8907 0.307456
