ZTF19acwrqtv 0.060000 Ia
58854.1334259 2 18.8551 0.195569
58853.162581 2 18.7719 0.186628
58850.1238773 2 18.7874 0.134686
58849.1875694 2 18.7082 0.0848125
58849.0785069 2 18.7857 0.103708
58846.1415741 2 18.689 0.100736
58839.0959259 2 18.5343 0.235015
58837.0805787 2 18.2109 0.0797443
58836.1033218 2 18.1643 0.0771495
58833.2903356 2 18.2083 0.124924
58833.0978935 2 18.0967 0.0669222
58831.0968403 2 18.0364 0.075617
58830.2825 2 18.116 0.0903539
58830.2371065 2 18.09 0.0791903
58828.1999769 2 18.0986 0.127993
58820.1230093 2 18.6822 0.277991
58819.1538657 2 18.7596 0.101843
