ZTF19aavyafo 0.010000 Ia
58646.2315741 2 19.2769 0.200917
58643.2533449 2 19.4209 0.153228
58643.2524306 2 19.3458 0.136981
58640.272581 2 19.3692 0.152731
58640.2529861 2 19.2358 0.122302
58637.2942824 2 19.5486 0.120595
58637.2933796 2 19.6542 0.139497
58634.3147569 2 19.8097 0.172251
58634.2913773 2 19.5608 0.126438
