ZTF19acanzwg 0.047000 II
58880.1095139 1 20.6539 0.25455
58877.182963 1 20.7557 0.315564
58874.1535764 1 20.4223 0.275069
58867.1424769 1 19.8476 0.268151
58864.1430556 1 20.0854 0.159716
58862.1123958 1 20.0134 0.126382
58856.1076042 1 19.7573 0.232836
58855.1542708 1 19.737 0.219944
58850.1726736 1 19.4812 0.161027
58850.1600579 1 19.703 0.150607
58849.1001273 1 19.633 0.106686
58836.1341667 1 19.348 0.110752
58831.2065162 1 19.2668 0.151073
58830.1745949 1 19.1803 0.152141
58820.1637384 1 19.223 0.205869
58819.2131597 1 19.1006 0.044505
58814.2375 1 19.1404 0.154128
58813.1796875 1 19.1221 0.127611
58811.2295255 1 19.2467 0.102985
58811.2271991 1 19.1779 0.100347
58806.1977778 1 19.2934 0.0824759
58802.2353125 1 19.4 0.154439
58801.2014352 1 19.5297 0.206407
58800.2178704 1 19.4814 0.228197
58797.2281944 1 19.7869 0.239586
58793.1868403 1 19.9144 0.188891
58791.2789815 1 20.1791 0.165759
58789.3696296 1 20.4915 0.300411
58789.1654398 1 20.4278 0.237826
58788.1650347 1 20.5114 0.271249
58786.1717824 1 20.4984 0.258793
58785.1648032 1 20.7437 0.204538
58783.1650926 1 20.9732 0.393915
58782.1635532 1 20.7176 0.30955
58775.1650926 1 21.0734 0.343003
58764.1684028 1 20.3854 0.282958
58763.3921991 1 20.4314 0.197148
58760.3717361 1 20.5406 0.220751
