ZTF20aafdglk 0.040000 Ia
58894.1587616 1 19.7499 0.200334
58891.1585648 1 19.2453 0.143443
58887.1778819 1 18.781 0.132579
58884.1094907 1 18.4568 0.139835
58882.1164583 1 18.3122 0.0738268
58880.1127662 1 18.1075 0.0486082
58877.1798032 1 17.959 0.0677384
58874.1602894 1 17.9038 0.0710832
58871.1631019 1 18.005 0.0738006
58867.1406366 1 18.38 0.137012
58864.1089583 1 19.0755 0.0858994
58862.1128819 1 20.0119 0.156554
