ZTF18aaqkdwu 0.060370 II
58641.1879167 1 20.0808 0.187572
58638.1988542 1 19.9099 0.131088
58638.1979514 1 19.784 0.17812
58635.2044907 1 19.78 0.15789
58632.1917708 1 19.4975 0.11373
58628.2273495 1 19.4523 0.139968
58628.2246296 1 19.2962 0.121556
58622.1783796 1 18.974 0.182545
58619.2578704 1 18.7165 0.168384
58619.2453704 1 18.8879 0.14549
58616.2607523 1 18.6644 0.0862249
58616.2470255 1 18.7517 0.101957
58612.2872917 1 18.665 0.0920808
58612.2647338 1 18.6398 0.073814
58606.405 1 19.7343 0.1237
58606.4018171 1 19.649 0.165455
