ZTF18abiyatb 0.120000 Ia
58975.4638657 1 18.8523 0.163256
58964.4795602 1 20.576 0.260258
58776.1251157 1 18.9316 0.10994
58776.124213 1 18.8101 0.0928291
58776.1090856 1 19.0462 0.0981354
58745.205 1 18.0547 0.0610482
58745.1271296 1 18.3026 0.108332
58744.2043981 1 17.9559 0.0707192
58742.1270602 1 17.8934 0.243631
58723.260081 1 20.6852 0.300558
58712.2085532 1 18.2797 0.0781698
58700.3323032 1 20.7537 0.350517
58673.3148148 1 20.7645 0.262436
58668.2963889 1 19.3457 0.0952969
58668.2959375 1 19.2651 0.12689
58668.2954861 1 19.5055 0.178807
58662.4280671 1 20.6813 0.272645
58661.4406597 1 20.5495 0.358398
58642.3979051 1 20.6096 0.218823
58581.4950231 1 18.4163 0.0986918
58423.1491088 1 18.7045 0.137132
58372.2560532 1 19.326 0.123924
58372.2307523 1 19.1219 0.121379
58372.1893287 1 19.507 0.130922
58338.3715741 1 19.4075 0.15498
58338.3615972 1 19.4214 0.135149
58323.3769329 1 17.9043 0.0877772
