ZTF20aahptds 0.076560 Ia
58906.325544 1 20.7082 0.32
58905.2830671 1 20.3361 0.279915
58904.3064699 1 20.4922 0.221054
58903.3478472 1 20.475 0.2106
58900.3478356 1 20.0275 0.169931
58899.3897106 1 20.136 0.190339
58898.3862037 1 19.907 0.137103
58895.3905671 1 19.4435 0.135884
58894.364838 1 19.3017 0.124697
58893.4484954 1 19.2296 0.128657
58893.4466898 1 19.2997 0.103847
58892.3679398 1 19.1772 0.128403
58891.4458218 1 19.0064 0.131743
58890.5066319 1 18.9516 0.234767
58890.5057292 1 18.8281 0.181242
58887.2636921 1 18.9022 0.181381
58886.4678125 1 18.8463 0.10485
58885.4755903 1 18.6265 0.112479
58884.4552894 1 18.6771 0.0872396
58884.4543866 1 18.6093 0.089297
58883.4674537 1 18.6906 0.0810441
58881.4720139 1 18.6679 0.0773787
58881.4711227 1 18.6979 0.0914109
58880.4694444 1 18.7535 0.0817223
58879.4746528 1 18.7464 0.120695
58878.4962616 1 18.8476 0.131673
58878.4953588 1 18.8927 0.110005
58877.5343287 1 18.9462 0.119771
58876.5113542 1 19.1202 0.110589
58876.5113542 1 19.1214 0.110178
58875.444294 1 19.3392 0.167058
58875.4420139 1 19.3237 0.145621
58873.3868287 1 19.9506 0.184269
58872.4295833 1 20.1482 0.184948
58872.4286458 1 20.1471 0.21439
58871.451169 1 20.3796 0.257819
