ZTF19abulzlj 0.116700 Ia
58762.1792824 1 20.329 0.321373
58761.1801042 1 20.217 0.304452
58760.1810995 1 20.1683 0.248428
58758.1967014 1 19.9059 0.229063
58754.1799421 1 19.62 0.160296
58751.1802778 1 19.4842 0.15966
58750.1826389 1 19.1833 0.129491
58749.182338 1 19.2432 0.105593
58748.1808218 1 19.1052 0.11528
58747.1817014 1 19.0334 0.0848201
58746.2062963 1 18.9804 0.123525
58745.1818171 1 18.9526 0.0786213
58744.1817014 1 18.899 0.0913588
58743.1826968 1 18.9518 0.10704
58741.1821296 1 18.8169 0.117031
58740.1852431 1 19.0199 0.21729
58739.1854861 1 18.7758 0.114657
58738.1816667 1 18.7254 0.138922
58737.308206 1 18.9466 0.252817
58736.2953125 1 18.755 0.122052
58735.28625 1 18.9614 0.145323
58734.2876736 1 18.9826 0.140036
58733.2864236 1 19.0784 0.124097
58732.2870949 1 19.0545 0.110314
58730.2888194 1 19.3441 0.15193
58727.3120833 1 19.9173 0.175449
58726.2901157 1 20.0159 0.214564
58725.2888194 1 20.6511 0.306827
