ZTF19aarfksi 0.079800 Ia
58653.1866088 2 20.1277 0.203886
58643.2398611 2 19.6694 0.20277
58640.2141898 2 19.5214 0.104171
58637.1836227 2 19.4864 0.115725
58633.2012037 2 19.3543 0.108739
58612.2102199 2 18.5721 0.0629117
58608.2316204 2 18.5145 0.0838635
58606.2066204 2 18.4717 0.0717453
58597.2473611 2 18.9144 0.0714886
58596.2528009 2 18.8879 0.0880006
58593.2793056 2 19.6378 0.268155
