ZTF19aamqebl 0.090000 Ia
58586.1712037 1 20.2888 0.269364
58585.2013657 1 20.3335 0.289452
58580.2326736 1 20.0848 0.203649
58580.2321991 1 20.0742 0.208373
58580.2051736 1 19.9913 0.213035
58575.2745949 1 19.4613 0.0972712
58572.2548495 1 19.3495 0.170286
58572.2067824 1 19.2884 0.204769
58567.2535648 1 19.1081 0.151325
58567.2065162 1 19.142 0.137397
58559.3330671 1 19.4594 0.215253
