ZTF19aaywlmi 0.070000 Ia
58700.180081 2 20.0117 0.153416
58697.1736227 2 19.8119 0.12325
58691.1723611 2 19.4302 0.103976
58681.2467593 2 19.3459 0.171447
58678.2269676 2 19.208 0.117457
58675.2378241 2 19.0057 0.0984041
58672.2153241 2 18.8733 0.0880686
58669.3243981 2 18.739 0.0602323
58666.2622106 2 18.6007 0.0591954
58663.2072801 2 18.5582 0.0767073
58660.2403935 2 18.5259 0.0734294
58657.262338 2 18.6372 0.0685853
58650.2399537 2 19.2384 0.11278
58647.2480324 2 19.7699 0.23137
