ZTF19achiyvy 0.020000 Ic
58794.2978356 2 19.269 0.148796
58793.3627199 2 19.4038 0.137012
58791.3399653 2 19.2454 0.152942
58789.2726042 2 19.3272 0.158403
58788.253206 2 19.2468 0.136572
58782.33 2 19.3888 0.138745
58782.33 2 19.3888 0.138745
58782.3295486 2 19.3904 0.124215
58782.3295486 2 19.3904 0.124215
58779.2939005 2 19.5675 0.145634
58779.2934491 2 19.5927 0.202637
58775.2933449 2 20.2731 0.277159
