ZTF18acerdie 0.084600 Ia
58586.2139352 2 19.5897 0.170747
58583.260081 2 19.4799 0.135435
58583.2591667 2 19.6189 0.167564
58582.2229861 2 19.4554 0.125659
58580.2282986 2 19.3944 0.127461
58572.2770718 2 18.9042 0.110861
58572.276169 2 18.9228 0.13655
58567.2338194 2 19.024 0.0914645
58559.2484259 2 19.8367 0.210583
58429.5226273 2 19.367 0.15847
