ZTF19acbhvgi 0.025000 II
58853.4609491 1 20.098 0.134556
58828.4418287 1 19.4736 0.201026
58812.4377199 1 19.1937 0.0859283
58806.4706713 1 19.1861 0.133733
58802.5362037 1 19.227 0.146886
58799.5276968 1 19.3189 0.202953
58796.5458681 1 19.0886 0.0975175
58790.5281597 1 19.0228 0.0953934
58788.4509491 1 19.0229 0.102206
58787.456331 1 18.9119 0.123159
58784.4843056 1 18.8397 0.123082
58781.4774074 1 18.8097 0.132927
58778.5335185 1 18.7799 0.119477
58778.5162269 1 18.7472 0.0857567
58768.4643866 1 18.3992 0.0942368
58767.4541204 1 18.3854 0.0857703
58766.4635764 1 18.37 0.105953
58763.476875 1 18.3729 0.0734572
58759.4751505 1 18.3113 0.072496
58758.5133681 1 18.2917 0.0576388
58756.4782639 1 18.3444 0.07249
58751.4920833 1 18.6102 0.0943876
