ZTF18aasprui 0.038000 Ia
58359.2240741 2 18.0151 0.0518457
58359.2198843 2 18.0004 0.0517918
58356.2148611 2 17.7417 0.0507355
58356.2144097 2 17.8064 0.0711486
58353.2766667 2 17.5145 0.0697895
58353.149838 2 17.5438 0.0497562
58352.2283681 2 17.5276 0.0460917
58350.1540741 2 17.4432 0.0615424
58346.1816204 2 17.4875 0.0479648
58346.1801852 2 17.4803 0.0498569
58343.1614352 2 17.6791 0.0432993
58343.1604977 2 17.6033 0.0629968
58340.1833565 2 18.0884 0.0694269
58337.1930787 2 18.9057 0.0927096
58336.2064468 2 19.2054 0.0915417
